Kitap Adı,Kitabın kategorisi,Kitap Yazarı,Yayınevi,100 Üzerinden Aldığı Puan,Favorilere Ekleyen Kişi Sayısı,Okuyacağım olarak işaretlenmiş sayısı,Okuyorum olarak işaretlenmiş sayısı,Okudum olarak işaretlenmiş sayısı,Liste Fiyatı,Yayın Tarihi,Dil,Sayfa Sayısı,Cilt Tipi,Boyut,Kağıt Cinsi,Toplam Satılma Sayısı,Toplam Yorum Sayısı,Puan_Degeri,Oy_Sayisi,Liste_Fiyati_Numeric,Yayin_Yili,Sayfa_Sayisi_Numeric,Ana_Kategori,Dil_Encoded,Cilt Tipi_Encoded,Kağıt Cinsi_Encoded,Ana_Kategori_Grouped,Ana_Kategori_Bilim & Mühendislik,Ana_Kategori_Diger,Ana_Kategori_Diğer,Ana_Kategori_Edebiyat,Ana_Kategori_Felsefe-Düşünce,Ana_Kategori_Kişisel Gelişim,Ana_Kategori_Siyaset,Ana_Kategori_Sosyoloji,Ana_Kategori_Tarih,Ana_Kategori_Çocuk Kitapları,Ana_Kategori_İslam,Liste_Fiyati_Numeric_Normalized,Sayfa_Sayisi_Numeric_Normalized,Favorilere Ekleyen Kişi Sayısı_Normalized,Okuyacağım olarak işaretlenmiş sayısı_Normalized,Okuyorum olarak işaretlenmiş sayısı_Normalized,Okudum olarak işaretlenmiş sayısı_Normalized,Toplam Yorum Sayısı_Normalized,Puan_Degeri_Normalized,Oy_Sayisi_Normalized,Toplam Satılma Sayısı_Normalized
Günlük Mucizelerin Küçük Kursu,Kitap > Kişisel Gelişim,Anna Sôlyom,DESTEK YAYIN GRUBU-KAMPANYA,,14.0,2.0,0,0.0,"240,00",07.09.2023,TÜRKÇE,232,Karton Kapak,13.5 x 21 cm,Kitap Kağıdı,12.0,0.0,5.0,5.5,240.0,2023.0,232.0,Kişisel Gelişim,0,1,3,Kişisel Gelişim,0,0,0,0,0,1,0,0,0,0,0,0.4305949008498583,0.35374149659863946,0.048359240069084625,0.0036363636363636364,0.0,0.0,0.0,1.0,0.000495485575864347,0.02284527518172378
Bilinçli EvrenPsişik Fenomenlerin Bilimsel Doğruluğu,Kitap > Psikoloji > İnceleme,Dr. Dean İ. Radin,SAY YAYIN GRUBU-KAMPANYA,4 / 5 (5 oy),112.0,10.0,1,2.0,"500,00",01.03.2018,TÜRKÇE,536,Karton Kapak,13.5 x 21 cm,Kitap Kağıdı,97.0,2.0,4.0,5.0,491.25,2018.0,536.0,Psikoloji,0,1,3,Diger,0,1,0,0,0,0,0,0,0,0,0,1.0,0.8707482993197279,0.386873920552677,0.01818181818181818,0.001937984496124031,0.002098635886673662,0.005263157894736842,0.75,0.00044043162299053066,0.19937694704049844
Lümen,Kitap > Edebiyat > Bilimkurgu-Fantazya,Camille Flammarion,FİHRİST KİTAP,5 / 5 (6 oy),38.0,11.0,0,4.0,"219,50",12.05.2023,TÜRKÇE,144,Karton Kapak,13 x 19.5 cm,Kitap Kağıdı,45.0,1.0,5.0,6.0,219.5,2023.0,144.0,Edebiyat,0,1,3,Edebiyat,0,0,0,1,0,0,0,0,0,0,0,0.38413597733711047,0.20408163265306123,0.1312607944732297,0.02,0.0,0.004197271773347324,0.002631578947368421,1.0,0.0005505395287381633,0.09138110072689512
Alves A.Ş.ve Diğer Öyküler,Kitap > Edebiyat > Hikaye (Çeviri),Eça de Queiroz,FİHRİST KİTAP,4 / 5 (4 oy),31.0,8.0,0,1.0,"209,50",11.09.2023,TÜRKÇE,138,Karton Kapak,13 x 19.5 cm,Kitap Kağıdı,172.0,2.0,4.0,4.0,209.5,2023.0,138.0,Edebiyat,0,1,3,Edebiyat,0,0,0,1,0,0,0,0,0,0,0,0.36147308781869686,0.19387755102040816,0.1070811744386874,0.014545454545454545,0.0,0.001049317943336831,0.005263157894736842,0.75,0.00033032371724289804,0.35514018691588783
Wilhelm Dilthey ve Felsefesi,Kitap > Felsefe-Düşünce > Filozoflar-Düşünürler > Kitap > Felsefe-Düşünce > Genel,Arslan Topakkaya,SAY YAYIN GRUBU-KAMPANYA,4 / 5 (6 oy),97.0,3.0,1,1.0,"300,00",25.01.2016,TÜRKÇE,336,Karton Kapak,13.5 x 21 cm,Kitap Kağıdı,81.0,1.0,4.0,6.0,300.0,2016.0,336.0,Felsefe-Düşünce,0,1,3,Felsefe-Düşünce,0,0,0,0,1,0,0,0,0,0,0,0.5665722379603398,0.5306122448979591,0.33506044905008636,0.005454545454545455,0.001937984496124031,0.001049317943336831,0.002631578947368421,0.75,0.0005505395287381633,0.16614745586708202
Diğerleri,Kitap > Edebiyat > Roman (Yerli),Mahir Ünsal Eriş,DESTEK YAYIN GRUBU-KAMPANYA,4 / 5 (2 oy),122.0,7.0,0,12.0,"240,00",07.10.2020,TÜRKÇE,120,Karton Kapak,13.5 x 19.5 cm,Kitap Kağıdı,22.0,0.0,4.0,2.0,240.0,2020.0,120.0,Edebiyat,0,1,3,Edebiyat,0,0,0,1,0,0,0,0,0,0,0,0.4305949008498583,0.163265306122449,0.42141623488773744,0.012727272727272728,0.0,0.012591815320041973,0.0,0.75,0.00011010790574763268,0.04361370716510903
Mizah Araştırmaları,Kitap > Akademik > Edebiyat İnceleme,Prof. Dr. Serdar Sağlam,NET KİTAPLIK YAYINCILIK,,33.0,1.0,0,1.0,"330,00",03.01.2023,TÜRKÇE,192,Karton Kapak,13 x 20 cm,Kitap Kağıdı,27.0,0.0,5.0,5.5,330.0,2023.0,192.0,Akademik,0,1,3,Diger,0,1,0,0,0,0,0,0,0,0,0,0.6345609065155807,0.2857142857142857,0.11398963730569947,0.0018181818181818182,0.0,0.001049317943336831,0.0,1.0,0.000495485575864347,0.05399792315680166
Yula Sırlar Dağı,Kitap > Edebiyat > Bilimkurgu-Fantazya,Fatma Güneş Yıldırım,MERGEN YAYINLARI,5 / 5 (2 oy),5.0,0.0,0,1.0,"185,00",06.09.2023,TÜRKÇE,142,Karton Kapak,13 x 19.5 cm,Kitap Kağıdı,50.0,0.0,5.0,2.0,185.0,2023.0,142.0,Edebiyat,0,1,3,Edebiyat,0,0,0,1,0,0,0,0,0,0,0,0.30594900849858353,0.20068027210884354,0.017271157167530225,0.0,0.0,0.001049317943336831,0.0,1.0,0.00011010790574763268,0.10176531671858775
Duygulanım,Kitap > Edebiyat > Şiir (Yerli),Meral Bağcı,FİHRİST KİTAP,,11.0,1.0,0,1.0,"109,50",19.09.2022,TÜRKÇE,52,Karton Kapak,13 x 19.5 cm,Kitap Kağıdı,10.0,0.0,5.0,5.5,109.5,2022.0,52.0,Edebiyat,0,1,3,Edebiyat,0,0,0,1,0,0,0,0,0,0,0,0.13484419263456088,0.04761904761904762,0.037996545768566495,0.0018181818181818182,0.0,0.001049317943336831,0.0,1.0,0.000495485575864347,0.018691588785046728
Silüet,Kitap > Edebiyat > Roman (Yerli),Ecem Çalık,ATAÇ YAYINLARI - KAMPANYA,5 / 5 (11 oy),31.0,5.0,1,7.0,"150,00",18.06.2019,TÜRKÇE,196,Karton Kapak,13.5 x 21 cm,Kitap Kağıdı,179.0,7.0,5.0,11.0,150.0,2019.0,196.0,Edebiyat,0,1,3,Edebiyat,0,0,0,1,0,0,0,0,0,0,0,0.22662889518413593,0.2925170068027211,0.1070811744386874,0.00909090909090909,0.001937984496124031,0.007345225603357817,0.018421052631578946,1.0,0.001101079057476327,0.36967808930425755
Suriye'den Kırk Damla Kan,Kitap > Siyaset > Bölgeler-Ülkeler,40'lar Kulübü,40'LAR KULÜBÜ,5 / 5 (6 oy),33.0,3.0,0,2.0,"149,00",20.07.2022,TÜRKÇE,176,Karton Kapak,13.5 x 21 cm,Kitap Kağıdı,28.0,0.0,5.0,6.0,149.0,2022.0,176.0,Siyaset,0,1,3,Siyaset,0,0,0,0,0,0,1,0,0,0,0,0.2243626062322946,0.2585034013605442,0.11398963730569947,0.005454545454545455,0.0,0.002098635886673662,0.0,1.0,0.0005505395287381633,0.056074766355140186
Yanılgı,Kitap > Edebiyat > Roman (Yerli),Gürsoy Uysal,BİLGE KÜLTÜR SANAT,4 / 5 (4 oy),27.0,4.0,0,4.0,"325,00",04.06.2014,TÜRKÇE,512,Karton Kapak,12.5 x 19.5 cm,Kitap Kağıdı,39.0,2.0,4.0,4.0,325.0,2014.0,512.0,Edebiyat,0,1,3,Edebiyat,0,0,0,1,0,0,0,0,0,0,0,0.6232294617563738,0.8299319727891156,0.09326424870466321,0.007272727272727273,0.0,0.004197271773347324,0.005263157894736842,0.75,0.00033032371724289804,0.07892004153686397
Rafa'nın Küresi,Kitap > Çocuk Kitapları > Hikaye,Perçin İmrek,ABAKÜS KİTAP - KAMPANYA,5 / 5 (1 oy),5.0,1.0,0,0.0,"165,00",21.10.2020,TÜRKÇE,60,Karton Kapak,22 x 22 cm,1. Hm. Kağıt,13.0,1.0,5.0,1.0,165.0,2020.0,60.0,Çocuk Kitapları,0,1,0,Çocuk Kitapları,0,0,0,0,0,0,0,0,0,1,0,0.26062322946175637,0.06122448979591837,0.017271157167530225,0.0018181818181818182,0.0,0.0,0.002631578947368421,1.0,0.0,0.024922118380062305
Amnezi,Kitap > Edebiyat > Roman (Çeviri) > Kitap > Diğer > Gençlik Kitapları > Edebiyat > Kitap > Orijinal Dil > İngilizce,Jennifer Rush,PEGASUS YAYINLARI,5 / 5 (80 oy),289.5,74.0,4,131.0,"269,00",03.07.2015,TÜRKÇE,320,Karton Kapak,13.5 x 21 cm,Kitap Kağıdı,482.5,44.0,5.0,80.0,269.0,2015.0,320.0,Edebiyat,0,1,3,Edebiyat,0,0,0,1,0,0,0,0,0,0,0,0.49631728045325774,0.5034013605442176,1.0,0.13454545454545455,0.007751937984496124,0.13746065057712487,0.11578947368421053,1.0,0.00869852455406298,0.9999999999999999
"Neden Felsefe Yaparız?İnsan, Ölüm ve Bilinç",Kitap > Felsefe-Düşünce > Genel,Dr. Süleyman Sıdal,OTORİTE YAYINLARI,4 / 5 (5 oy),70.0,1.0,2,5.0,"292,00",05.02.2025,TÜRKÇE,304,Karton Kapak,13.5 x 19.5 cm,Kitap Kağıdı,149.0,1.0,4.0,5.0,292.0,2025.0,304.0,Felsefe-Düşünce,0,1,3,Felsefe-Düşünce,0,0,0,0,1,0,0,0,0,0,0,0.5484419263456091,0.4761904761904762,0.24179620034542312,0.0018181818181818182,0.003875968992248062,0.005246589716684156,0.002631578947368421,0.75,0.00044043162299053066,0.3073727933541018
Mahallenin En Mutlu Bebeği,Kitap > Eğitim > Çocuk Eğitimi > Kitap > Eğitim > Annelik-Babalık-Aile,Dr. Harvey Karp,YAKAMOZ YAYINCILIK,4 / 5 (387 oy),2.82,206.0,30,351.0,"300,00",01.07.2012,TÜRKÇE,392,Karton Kapak,13.5 x 19.5 cm,Kitap Kağıdı,482.5,211.0,4.0,387.0,300.0,2012.0,392.0,Eğitim,0,1,3,Diger,0,1,0,0,0,0,0,0,0,0,0,0.5665722379603398,0.6258503401360543,0.009740932642487045,0.37454545454545457,0.05813953488372093,0.36831059811122774,0.5552631578947368,0.75,0.04250165161858621,0.9999999999999999
Tanrıların Oyunu,Kitap > Edebiyat > Roman (Çeviri),Paul Laurence Dunbar,DEDALUS KİTAP,5 / 5 (6 oy),75.0,14.0,0,7.0,"160,00",07.10.2022,TÜRKÇE,148,Karton Kapak,13 x 20 cm,Kitap Kağıdı,263.0,4.0,5.0,6.0,160.0,2022.0,148.0,Edebiyat,0,1,3,Edebiyat,0,0,0,1,0,0,0,0,0,0,0,0.24929178470254953,0.2108843537414966,0.25906735751295334,0.025454545454545455,0.0,0.007345225603357817,0.010526315789473684,1.0,0.0005505395287381633,0.5441329179646937
Bir Annelik Hikayesi,Kitap > Eğitim > Çocuk Bakımı > Kitap > Eğitim > Annelik-Babalık-Aile,Semiha Pınar Cambaz,ARİON YAYINLARI,5 / 5 (5 oy),78.0,10.0,0,6.0,"500,00",25.09.2017,TÜRKÇE,282,Karton Kapak,14 x 20 cm,Kitap Kağıdı,202.0,2.0,5.0,5.0,491.25,2017.0,282.0,Eğitim,0,1,3,Diger,0,1,0,0,0,0,0,0,0,0,0,1.0,0.4387755102040816,0.2694300518134715,0.01818181818181818,0.0,0.0062959076600209865,0.005263157894736842,1.0,0.00044043162299053066,0.4174454828660436
On Sekiz Saat,Kitap > Edebiyat > Roman (Yerli),Ertürk Akşun,DESTEK YAYIN GRUBU-KAMPANYA,4 / 5 (121 oy),289.5,47.0,1,76.0,"260,00",15.04.2019,TÜRKÇE,288,Karton Kapak,13.5 x 21 cm,Kitap Kağıdı,482.5,51.0,4.0,121.0,260.0,2019.0,288.0,Edebiyat,0,1,3,Edebiyat,0,0,0,1,0,0,0,0,0,0,0,0.4759206798866855,0.4489795918367347,1.0,0.08545454545454545,0.001937984496124031,0.07974816369359916,0.13421052631578947,0.75,0.013212948689715922,0.9999999999999999
İnsanın İşgaliEy İnsan! İşgal Ediliyorsun,Kitap > Akademik > Tarih İnceleme,İhsan Kurt,NET KİTAPLIK YAYINCILIK,5 / 5 (1 oy),15.0,2.0,0,2.0,"405,00",05.06.2023,TÜRKÇE,248,Karton Kapak,13 x 20 cm,Kitap Kağıdı,8.0,1.0,5.0,1.0,405.0,2023.0,248.0,Akademik,0,1,3,Diger,0,1,0,0,0,0,0,0,0,0,0,0.8045325779036827,0.38095238095238093,0.05181347150259067,0.0036363636363636364,0.0,0.002098635886673662,0.002631578947368421,1.0,0.0,0.014537902388369679
Nereye Kayboldu Bu Erkekler,Kitap > Edebiyat > Roman (Çeviri),Jenny Colgan,PEGASUS YAYINLARI,4 / 5 (99 oy),289.5,76.0,5,65.0,"299,00",19.07.2011,TÜRKÇE,368,Karton Kapak,13.5 x 21 cm,Kitap Kağıdı,482.5,50.0,4.0,99.0,299.0,2011.0,368.0,Edebiyat,0,1,3,Edebiyat,0,0,0,1,0,0,0,0,0,0,0,0.5643059490084985,0.5850340136054422,1.0,0.13818181818181818,0.009689922480620155,0.06820566631689402,0.13157894736842105,0.75,0.010790574763268002,0.9999999999999999
Kent ve KorkuKorku Kültürü İle Kent İlişkisi Üzerine Kuramsal Tartışma,Kitap > Kültür > Alt-Kültürler,Ziya Yıldız,URZENİ,3 / 5 (1 oy),27.0,1.0,0,3.0,"240,00",19.11.2020,TÜRKÇE,208,Karton Kapak,13 x 20 cm,Kitap Kağıdı,40.0,1.0,3.0,1.0,240.0,2020.0,208.0,Kültür,0,1,3,Diger,0,1,0,0,0,0,0,0,0,0,0,0.4305949008498583,0.3129251700680272,0.09326424870466321,0.0018181818181818182,0.0,0.0031479538300104933,0.002631578947368421,0.5,0.0,0.08099688473520249
Rasyonalitenin SınırlarıMax Weber’in Sosyal ve Ahlaki Düşüncesi Üzerine Bir Deneme,Kitap > Sosyoloji > Diğer,Rogers Brubaker,SİYASAL YAYIN GRUBU - KAMPANYA,4 / 5 (1 oy),94.0,3.0,1,2.0,"225,00",30.03.2017,TÜRKÇE,168,Karton Kapak,13.5 x 19.5 cm,Kitap Kağıdı,76.0,0.0,4.0,1.0,225.0,2017.0,168.0,Sosyoloji,0,1,3,Sosyoloji,0,0,0,0,0,0,0,1,0,0,0,0.39660056657223797,0.24489795918367346,0.3246977547495682,0.005454545454545455,0.001937984496124031,0.002098635886673662,0.0,0.75,0.0,0.1557632398753894
Kerem İle Aslı,Kitap > Edebiyat > Doğu Klasikleri,,İSKELE YAYINCILIK,5 / 5 (8 oy),102.0,13.0,0,12.0,"110,00",23.11.2005,TÜRKÇE,176,Karton Kapak,13.5 x 19.5 cm,Kitap Kağıdı,341.0,6.0,5.0,8.0,110.0,2005.0,176.0,Edebiyat,0,1,3,Edebiyat,0,0,0,1,0,0,0,0,0,0,0,0.1359773371104816,0.2585034013605442,0.35233160621761656,0.023636363636363636,0.0,0.012591815320041973,0.015789473684210527,1.0,0.0007707553402334288,0.7061266874350985
Dijimorfoz Dijital Dönüşüm Üzerine Notlar,Kitap > Diğer > İletişim-Medya,Sertaç Öğüt,ABAKÜS KİTAP - KAMPANYA,5 / 5 (3 oy),17.0,2.0,2,1.0,"145,00",06.07.2018,TÜRKÇE,192,Karton Kapak,16 x 21 cm,Kuşe Kağıt,39.0,1.0,5.0,3.0,145.0,2018.0,192.0,Diğer,0,1,4,Diğer,0,0,1,0,0,0,0,0,0,0,0,0.21529745042492915,0.2857142857142857,0.05872193436960276,0.0036363636363636364,0.003875968992248062,0.001049317943336831,0.002631578947368421,1.0,0.00022021581149526536,0.07892004153686397
Sükut Gümüş Söz Altın,Kitap > Edebiyat > Şiir (Yerli),Abdulkadir  Güllü,BİYOGRAFİ.NET,,9.0,2.0,0,1.0,"292,50",20.08.2021,TÜRKÇE,321,Karton Kapak,13 x 20 cm,Kitap Kağıdı,63.0,0.0,5.0,5.5,292.5,2021.0,321.0,Edebiyat,0,1,3,Edebiyat,0,0,0,1,0,0,0,0,0,0,0,0.5495750708215297,0.5051020408163265,0.031088082901554404,0.0036363636363636364,0.0,0.001049317943336831,0.0,1.0,0.000495485575864347,0.12876427829698855
Edda’nın Dilek Kutusu / Sarı Ev İçin Şahane Bir Bahçe,Kitap > Çocuk Kitapları > Hikaye,Suza Kolb,YAKAMOZ YAYINCILIK,,6.0,0.0,0,1.0,"80,00",06.06.2023,TÜRKÇE,128,Karton Kapak,13.5 x 19.5 cm,Kitap Kağıdı,44.0,0.0,5.0,5.5,80.0,2023.0,128.0,Çocuk Kitapları,0,1,3,Çocuk Kitapları,0,0,0,0,0,0,0,0,0,1,0,0.06798866855524079,0.17687074829931973,0.020725388601036267,0.0,0.0,0.001049317943336831,0.0,1.0,0.000495485575864347,0.0893042575285566
Abes,Kitap > Edebiyat > Deneme (Yerli),Veli Koçak,FİHRİST KİTAP,4 / 5 (1 oy),16.0,1.0,0,5.0,"149,50",18.04.2023,TÜRKÇE,86,Karton Kapak,13 x 19.5 cm,Kitap Kağıdı,12.0,1.0,4.0,1.0,149.5,2023.0,86.0,Edebiyat,0,1,3,Edebiyat,0,0,0,1,0,0,0,0,0,0,0,0.22549575070821526,0.1054421768707483,0.055267702936096716,0.0018181818181818182,0.0,0.005246589716684156,0.002631578947368421,0.75,0.0,0.02284527518172378
Oxen - İlk Kurban,Kitap > Edebiyat > Roman (Çeviri),Jens Henrik Jensen,DEDALUS KİTAP,4 / 5 (6 oy),64.0,3.0,1,5.0,"400,00",05.01.2021,TÜRKÇE,400,Karton Kapak,13 x 20 cm,Kitap Kağıdı,205.0,3.0,4.0,6.0,400.0,2021.0,400.0,Edebiyat,0,1,3,Edebiyat,0,0,0,1,0,0,0,0,0,0,0,0.7932011331444758,0.6394557823129251,0.22107081174438686,0.005454545454545455,0.001937984496124031,0.005246589716684156,0.007894736842105263,0.75,0.0005505395287381633,0.4236760124610592
Adım Deliye Çıktı,Kitap > Edebiyat > Şiir (Yerli),Mutlu Aydurmuş,TRUVA YAYINLARI,5 / 5 (1 oy),3.0,1.0,0,1.0,"245,00",30.03.2022,TÜRKÇE,264,Karton Kapak,13.5 x 21 cm,Kitap Kağıdı,58.0,1.0,5.0,1.0,245.0,2022.0,264.0,Edebiyat,0,1,3,Edebiyat,0,0,0,1,0,0,0,0,0,0,0,0.4419263456090651,0.40816326530612246,0.010362694300518133,0.0018181818181818182,0.0,0.001049317943336831,0.002631578947368421,1.0,0.0,0.11838006230529595
Farkındalık StratejileriZayıflıkları Güce Dönüştürme Sanatı,Kitap > Kişisel Gelişim,Deniz Emre Çolakoğlu,SİYAH KUĞU KAMPANYA,5 / 5 (7 oy),41.0,7.0,0,7.0,"90,00",11.05.2018,TÜRKÇE,136,Karton Kapak,13.5 x 21 cm,Kitap Kağıdı,240.0,5.0,5.0,7.0,90.0,2018.0,136.0,Kişisel Gelişim,0,1,3,Kişisel Gelişim,0,0,0,0,0,1,0,0,0,0,0,0.0906515580736544,0.19047619047619047,0.14162348877374784,0.012727272727272728,0.0,0.007345225603357817,0.013157894736842105,1.0,0.0006606474344857962,0.4963655244029076
Maestro Niyazi TağızadeSovyet Dönemi Azerbaycan ve Türkiye Arasında Bir Kültür Elçisi,Kitap > Akademik > Tarih İnceleme,Ecem Tuğçe Akbulut,NET KİTAPLIK YAYINCILIK,,13.0,0.0,0,0.0,"340,00",18.10.2021,TÜRKÇE,200,Karton Kapak,13 x 20 cm,Kitap Kağıdı,66.0,0.0,5.0,5.5,340.0,2021.0,200.0,Akademik,0,1,3,Diger,0,1,0,0,0,0,0,0,0,0,0,0.6572237960339943,0.29931972789115646,0.04490500863557858,0.0,0.0,0.0,0.0,1.0,0.000495485575864347,0.13499480789200413
Ümmetin Kırk Yetimi,Kitap > Edebiyat > Deneme (Yerli),40'lar Kulübü,40'LAR KULÜBÜ,4 / 5 (3 oy),18.0,2.0,0,2.0,"149,00",20.07.2022,TÜRKÇE,139,Karton Kapak,13.5 x 21 cm,Kitap Kağıdı,14.0,2.0,4.0,3.0,149.0,2022.0,139.0,Edebiyat,0,1,3,Edebiyat,0,0,0,1,0,0,0,0,0,0,0,0.2243626062322946,0.195578231292517,0.06217616580310881,0.0036363636363636364,0.0,0.002098635886673662,0.005263157894736842,0.75,0.00022021581149526536,0.026998961578400833
"Aşk Sandığın Kadar Değil, Yandığın Kadardır",Kitap > Kişisel Gelişim,Nadia Maiya,DESTEK YAYIN GRUBU-KAMPANYA,,7.0,0.0,0,0.0,"140,00",05.11.2024,TÜRKÇE,112,Karton Kapak,13.5 x 21 cm,Kitap Kağıdı,1.0,0.0,5.0,5.5,140.0,2024.0,112.0,Kişisel Gelişim,0,1,3,Kişisel Gelişim,0,0,0,0,0,1,0,0,0,0,0,0.20396600566572237,0.14965986394557823,0.024179620034542312,0.0,0.0,0.0,0.0,1.0,0.000495485575864347,0.0
Yakın Dönem Türk Tarihinde Refik Halid Karay,Kitap > Edebiyat > İnceleme,Yenal Ünal,YEDİTEPE YAYINEVİ-KAMPANYA,5 / 5 (31 oy),128.0,14.0,1,11.0,"350,00",15.05.2013,TÜRKÇE,376,Karton Kapak,13.5 x 21 cm,Kitap Kağıdı,225.0,15.0,5.0,31.0,350.0,2013.0,376.0,Edebiyat,0,1,3,Edebiyat,0,0,0,1,0,0,0,0,0,0,0,0.6798866855524078,0.5986394557823128,0.4421416234887737,0.025454545454545455,0.001937984496124031,0.011542497376705142,0.039473684210526314,1.0,0.0033032371724289805,0.4652128764278297
Beyaz Diş,Kitap > Edebiyat > Roman (Çeviri) > Kitap > Edebiyat > 100 Temel Eser,Jack London,İSKELE YAYINCILIK,5 / 5 (185 oy),289.5,124.0,14,349.0,"110,00",26.10.2022,TÜRKÇE,175,Karton Kapak,13.5 x 19.5 cm,Kitap Kağıdı,482.5,89.0,5.0,185.0,110.0,2022.0,175.0,Edebiyat,0,1,3,Edebiyat,0,0,0,1,0,0,0,0,0,0,0,0.1359773371104816,0.2568027210884354,1.0,0.22545454545454546,0.027131782945736434,0.36621196222455404,0.23421052631578948,1.0,0.020259854657564413,0.9999999999999999
Hepimizin Bir Türküsü Vardı,Kitap > Akademik > Eğitim Bilimleri,İbrahim Demirkale,NET KİTAPLIK YAYINCILIK,1 / 5 (1 oy),5.0,0.0,0,0.0,"270,00",03.01.2023,TÜRKÇE,152,Karton Kapak,13 x 20 cm,Kitap Kağıdı,18.0,0.0,1.0,1.0,270.0,2023.0,152.0,Akademik,0,1,3,Diger,0,1,0,0,0,0,0,0,0,0,0,0.49858356940509907,0.217687074829932,0.017271157167530225,0.0,0.0,0.0,0.0,0.0,0.0,0.03530633437175493
Miracın Kırk Yolcusu,Kitap > Din > Dini Metinler,Kolektif,40'LAR KULÜBÜ,,27.0,1.0,0,0.0,"149,00",06.07.2022,TÜRKÇE,145,Karton Kapak,13.5 x 21 cm,Kitap Kağıdı,35.0,0.0,5.0,5.5,149.0,2022.0,145.0,Din,0,1,3,Diger,0,1,0,0,0,0,0,0,0,0,0,0.2243626062322946,0.20578231292517007,0.09326424870466321,0.0018181818181818182,0.0,0.0,0.0,1.0,0.000495485575864347,0.07061266874350987
Kırk Hikaye ile Bereket,Kitap > İslam > Dini Hikayeler-Menkıbeler,40'lar Kulübü,40'LAR KULÜBÜ,,16.0,0.0,1,1.0,"149,00",11.04.2022,TÜRKÇE,173,Karton Kapak,13.5 x 21 cm,Kitap Kağıdı,18.0,0.0,5.0,5.5,149.0,2022.0,173.0,İslam,0,1,3,İslam,0,0,0,0,0,0,0,0,0,0,1,0.2243626062322946,0.2534013605442177,0.055267702936096716,0.0,0.001937984496124031,0.001049317943336831,0.0,1.0,0.000495485575864347,0.03530633437175493
Naylon Aşkı Öldürür!Plastik Yaşamdan Kurtuluş Rehberi,Kitap > Sağlık-Tıp > Genel,Prof. Dr. Hamdi Temel,HAYY KİTAP - KAMPANYA,4 / 5 (11 oy),148.0,11.0,0,10.0,"200,00",24.04.2018,TÜRKÇE,144,Karton Kapak,13.5 x 21 cm,Kitap Kağıdı,218.0,4.0,4.0,11.0,200.0,2018.0,144.0,Sağlık-Tıp,0,1,3,Diger,0,1,0,0,0,0,0,0,0,0,0,0.3399433427762039,0.20408163265306123,0.5112262521588946,0.02,0.0,0.010493179433368312,0.010526315789473684,0.75,0.001101079057476327,0.45067497403946005
Ahkam-ı Kur’an,Kitap > İslam > Kuran İncelemeleri,Doç. Dr. A. Cüneyt Eren,RAĞBET YAYINLARI-KAMPANYA,5 / 5 (30 oy),73.0,22.0,1,14.0,"360,00",03.03.2016,TÜRKÇE,288,Karton Kapak,13.5 x 21 cm,Kitap Kağıdı,236.0,12.0,5.0,30.0,360.0,2016.0,288.0,İslam,0,1,3,İslam,0,0,0,0,0,0,0,0,0,0,1,0.7025495750708215,0.4489795918367347,0.25215889464594127,0.04,0.001937984496124031,0.014690451206715634,0.031578947368421054,1.0,0.003193129266681348,0.48805815160955346
Doğal Hukuk ve Doğal Haklarİnsan Haklarının Felsefi Temelleri,Kitap > Siyaset > Araştırma-İnceleme,Cennet Uslu,LİBERUS,5 / 5 (2 oy),77.0,3.0,0,1.0,"400,00",09.06.2023,TÜRKÇE,378,Karton Kapak,13 x 19.5 cm,Kitap Kağıdı,129.0,0.0,5.0,2.0,400.0,2023.0,378.0,Siyaset,0,1,3,Siyaset,0,0,0,0,0,0,1,0,0,0,0,0.7932011331444758,0.6020408163265305,0.2659758203799654,0.005454545454545455,0.0,0.001049317943336831,0.0,1.0,0.00011010790574763268,0.26583592938733125
Gezgin Yıldız / Zodyak 2,Kitap > Edebiyat > Roman (Çeviri),Romina Russell,PEGASUS YAYINLARI,4 / 5 (8 oy),106.0,5.0,0,5.0,"299,00",18.07.2017,TÜRKÇE,336,Karton Kapak,13.5 x 21 cm,Kitap Kağıdı,64.0,5.0,4.0,8.0,299.0,2017.0,336.0,Edebiyat,0,1,3,Edebiyat,0,0,0,1,0,0,0,0,0,0,0,0.5643059490084985,0.5306122448979591,0.36614853195164077,0.00909090909090909,0.0,0.005246589716684156,0.013157894736842105,0.75,0.0007707553402334288,0.1308411214953271
AidaOpera Klasikleri: 05,Kitap > Sanat > Diğer,Giuseppe Verdi,FİHRİST KİTAP,4 / 5 (1 oy),25.0,3.0,0,0.0,"199,50",26.02.2024,TÜRKÇE,128,Karton Kapak,13 x 19.5 cm,Kitap Kağıdı,30.0,0.0,4.0,1.0,199.5,2024.0,128.0,Sanat,0,1,3,Diger,0,1,0,0,0,0,0,0,0,0,0,0.33881019830028325,0.17687074829931973,0.08635578583765112,0.005454545454545455,0.0,0.0,0.0,0.75,0.0,0.060228452751817235
